ACN,Local Time Of Day,Light,Flight Phase,Make Model Name,Weather Elements / Visibility,Locale Reference
2013804,0601-1200,,Cruise,MD-11,Turbulence,ZZZ.ARTCC
2014309,1201-1800,,Cruise,MD-11,,ZZZ.ARTCC
2014950,1201-1800,,Cruise,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,ZZZ.Airport
2015575,,,Climb,Regional Jet 200 ER/LR (CRJ200),,ZZZ.Airport
2015824,0001-0600,,Parked,Airbus Industrie Undifferentiated or Other Model,,ZZZ.Airport
2015852,1201-1800,,Initial Approach,Citation II S2/Bravo (C550),10,ORD.Airport
2015896,1201-1800,Daylight,Cruise,Small Transport; Low Wing; 2 Turboprop Eng,40,ZMA.ARTCC
2016047,0601-1200,Daylight,Climb,B737-800,,ZZZ.ARTCC
2016500,1201-1800,,Cruise,B737 Next Generation Undifferentiated,,ZZZ.ARTCC
2016780,1801-2400,Night,Cruise,Cessna Stationair/Turbo Stationair 6,10,ZZZ.TRACON
2016810,0601-1200,Daylight,Final Approach,RV-6,10,ZZZ.Airport
2017540,,,Parked,B737 Undifferentiated or Other Model,,
2017620,1801-2400,Night,Climb,A321,Icing; Thunderstorm,ZZZ.Airport
2018224,1801-2400,,Climb,B757 Undifferentiated or Other Model,,ZZZ.TRACON
2018346,0601-1200,,Landing,EMB ERJ 145 ER/LR,,ZZZ.Airport
2018369,1201-1800,,Parked,A321,,ZZZ.Airport
2018487,0601-1200,Dawn,Takeoff / Launch,Skyhawk 172/Cutlass 172,5,ZZZ.Airport
2018695,0601-1200,,Taxi,A319,,ZZZ.Airport
2018802,0601-1200,,Parked; Taxi,B777-300,,ZZZ.Airport
2018832,0601-1200,Daylight,Initial Climb,TBM 900 / TBM 930,10,ZZZ.ARTCC
2019340,0601-1200,,Cruise,B737-800,,
2019685,1801-2400,,Descent,B737-800,,ZZZ.ARTCC
2019880,0001-0600,,Descent; Final Approach; Initial Approach,A320,,ZZZ.Airport
2019939,0001-0600,,Taxi; Parked,B767-300 and 300 ER,,ZZZ.Airport
2020242,0601-1200,Daylight,Cruise,PA-32 Cherokee Six/Lance/Saratoga/6X,Haze / Smoke; 7,ZZZ.Airport
2020920,1201-1800,Daylight,Parked,PA-44 Seminole/Turbo Seminole,,ZZZ.Airport
2021354,1201-1800,,Cruise,Commercial Fixed Wing,,ZAB.ARTCC
2021633,1201-1800,Daylight,Landing,Small Transport; Low Wing; 2 Turboprop Eng,,ZZZ.Airport
2021680,1201-1800,Daylight,Climb,Learjet 45,,ZZZ.ARTCC
2022066,,,Parked,A320,,
2022736,1801-2400,Night,Taxi,B737 MAX 8,,ZZZ.Airport
2022830,0601-1200,Daylight,Landing,Small Aircraft,,ZZZ.Airport
2022903,1201-1800,Daylight,Takeoff / Launch,B737-700,,ZZZ.Airport
2023093,1201-1800,,Taxi,EMB ERJ 190/195 ER/LR,,ZZZ.Airport
2023308,0601-1200,,Parked,A319,,ZZZ.Airport
2023530,1801-2400,,Climb,Light Transport; Low Wing; 2 Turbojet Eng,,ZZZ.ARTCC
2023606,1801-2400,,Climb,B767 Undifferentiated or Other Model,,ZZZ.Tower
2023714,0001-0600,,Final Approach,A320,,ZZZ.Airport
2023799,0601-1200,,Taxi,A319,,ZZZ.Airport
2024102,0601-1200,,Climb,Twin Otter DHC-6-300,,ZZZ.ARTCC
2024832,1201-1800,Daylight,Cruise,Cessna 150,10,ZZZ.Airport
2025299,1201-1800,,Final Approach,EMB-505 / Phenom 300,,ZZZ.Tower
2025937,0601-1200,,Landing,Cessna 402/402C/B379 Businessliner/Utiliner,,ZZZ.Airport
2026087,1201-1800,Daylight,Landing,Skyhawk 172/Cutlass 172,Windshear; 10,ZZZ.Airport
2026132,0601-1200,Daylight,Climb,Small Transport; Low Wing; 2 Recip Eng,10,BOI.Airport
2026189,0601-1200,Daylight,Cruise,Challenger CL601,,ZZZ.ARTCC
2026312,0601-1200,,Climb,A319,,ZZZ.ARTCC
2026608,0601-1200,Daylight,Landing,Balloon,,
2027067,0001-0600,,Final Approach,Commercial Fixed Wing,Cloudy,CLT.Tower
2027238,0001-0600,Night,Landing,Skyhawk 172/Cutlass 172,Clear VFR conditions,ZZZ.Tower
2027243,1201-1800,Daylight,Initial Approach,DA40 Diamond Star,10,ZZZ.Airport
2027281,0601-1200,Daylight,Taxi,Commercial Fixed Wing,,ZZZ.Airport
2027712,0601-1200,,Cruise,Commercial Fixed Wing,,RJJJ.ARTCC
2027741,1201-1800,Daylight,Climb,Challenger 300,Turbulence,ZZZ.Airport
2027780,,,Parked,Large Transport; Low Wing; 2 Turbojet Eng,,CYYC.Airport
2027828,1201-1800,,Climb; Initial Climb,EMB ERJ 145 ER/LR,,ZZZ.ARTCC
2027838,1201-1800,,Climb,A319,,ZZZ.Tower
2028276,1201-1800,Daylight,Initial Climb,B737-700,,ZZZ.Tower
2028319,1201-1800,,Parked,B767 Undifferentiated or Other Model,,
2028427,1201-1800,,Initial Approach,A300,Haze / Smoke,ZZZ.Airport
2028550,1201-1800,Daylight,Climb,Cardinal 177/177RG,,ZZZ.TRACON
2028652,1201-1800,,Initial Climb,B767-300 and 300 ER,,ZZZ.TRACON
2029352,0001-0600,,Taxi,B747-800 Advanced,,ZZZ.Airport
2029537,0601-1200,,Cruise,Baron 58/58TC,,ZZZ.ARTCC
2029586,0601-1200,,Initial Approach,Commercial Fixed Wing,,ZZZ.TRACON
2030165,0601-1200,Daylight,Climb,DJI Avata,5,ZZZ.Airport
2030512,1801-2400,Daylight,Takeoff / Launch,Small Aircraft,10,ZZZ.Tower
2030812,1801-2400,Night,,EC145,Icing; Rain; Turbulence; 3,ZZZZ.Airport
2031567,1801-2400,,Taxi,Commercial Fixed Wing,,MKJS.Airport
2032039,,,Cruise,Cessna 170,10,ZZZ.Airport
2032092,0601-1200,Daylight,Climb,Medium Transport; Low Wing; 2 Turbojet Eng,Clear; 10,SCT.TRACON
2032097,,Daylight,Cruise,PA-24 Comanche,10,ZZZ.Tower
2032138,0601-1200,Daylight,Landing,PA-24 Comanche,10,ZZZ.Airport
2032321,1801-2400,,Takeoff / Launch,B767-300 and 300 ER,,ZZZ.Airport
2032538,1201-1800,Daylight,Landing,Light Sport Aircraft,20,ZZZ.Airport
2032773,0601-1200,Daylight,Landing,M-20 E Super 21,,ZZZ.Airport
2032791,1801-2400,,,Falcon 20G/20GF/ Mysterre Falcon 200,,ZZZ.Airport
2033140,0001-0600,,Initial Approach; Parked,B767-300 and 300 ER,,ZZZ.Airport
2033583,1201-1800,Daylight,Descent,Cessna Stationair/Turbo Stationair 6,10,ZZZ.TRACON
2034292,1201-1800,Daylight,Climb,B747 Undifferentiated or Other Model,,ZZZ.ARTCC
2034534,1201-1800,Daylight,Initial Climb,EMB-505 / Phenom 300,,ZZZ.TRACON
2035631,0601-1200,,Landing,Falcon 50,,ZZZ.Airport
2035634,1201-1800,Daylight,Cruise,PA-23 Apache/Geronimo Apache,10,ZZZ.TRACON
2035747,0601-1200,Daylight,Climb,B737-700,,ZZZ.ARTCC
2036438,1201-1800,,Landing,Falcon 10/100,,ZZZ.ARTCC
2036994,1201-1800,Daylight,Cruise,Baron 58/58TC,10,ZZZ.ARTCC
2037165,1801-2400,Daylight,Takeoff / Launch,Baron 55/Cochise,10,ZZZ.Airport
2037172,0601-1200,,Landing,Cessna Stationair/Turbo Stationair 6,10,
2037310,1201-1800,,Taxi,Commercial Fixed Wing,,ZZZ.Airport
2037582,0601-1200,Dawn,Landing,Light Transport; Low Wing; 2 Turbojet Eng,,ZZZ.Airport
2037639,0601-1200,,Climb,A319,,ZZZ.TRACON
2037724,0001-0600,,Cruise,MD-11,,ZZZZ.ARTCC
2037838,0601-1200,,Climb,Small Transport,,LUK.Airport
2038108,0601-1200,,Landing,A319,,ZZZ.Airport
2038114,1201-1800,Daylight,Landing,A319,,ZZZ.Airport
2038548,0001-0600,,Parked,A321,,ZZZ.Airport
2038706,1201-1800,,Climb,B737 Undifferentiated or Other Model,,ZZZ.TRACON
2038776,1801-2400,,Parked,B757-200,,ZZZ.Airport
2038928,1801-2400,,Initial Climb,Commercial Fixed Wing,,TPA.TRACON
2039237,0601-1200,,Climb,EMB ERJ 145 ER/LR,,ZZZ.TRACON
2041947,1201-1800,Daylight,Takeoff / Launch,Cessna 150,,ZZZ.Airport
2042138,1801-2400,,Cruise,B757 Undifferentiated or Other Model,,ZZZ.ARTCC
2042301,1201-1800,,Climb,Regional Jet 700 ER/LR (CRJ700),,ZZZ.TRACON
2043387,0601-1200,Daylight,Taxi,B737-800,,ZZZ.Airport
2043792,1201-1800,Night,Takeoff / Launch,Skyhawk 172/Cutlass 172,10,ZZZ.Tower
2044267,1801-2400,,Cruise,Skyhawk 172/Cutlass 172,,ZZZ.Tower
2044467,0001-0600,,Initial Approach,B757-200,,ZZZ.Airport
2044670,0601-1200,,Taxi,Caravan 208B,10,ZZZ.Airport
2044919,0601-1200,,Initial Climb,Regional Jet 900 (CRJ900),,ZZZ.Airport
2044984,,,Cruise,A320,,
2045167,1801-2400,Night,Takeoff / Launch,B777-200,,ZZZZ.Airport
2045198,0601-1200,Daylight,Initial Approach,Medium Large Transport; Low Wing; 2 Turbojet Eng,,TUL.TRACON
2045748,0601-1200,,Cruise,B737 Undifferentiated or Other Model,,
2046106,0601-1200,Daylight,Final Approach,Skyhawk 172/Cutlass 172,,ZZZ.Airport
2047116,,,Cruise,B737 Next Generation Undifferentiated,,ZZZ.ARTCC
2047453,0601-1200,,Climb; Initial Climb,B737-800,,ZZZ.Airport
2047967,0601-1200,,Taxi,Light Transport; High Wing; 2 Turboprop Eng,Snow,
2049508,0601-1200,Night,Final Approach,B767-200,Turbulence,ZZZ.TRACON
2049724,1801-2400,Night,Climb; Cruise,B737-800,,ZZZ.Airport
2050585,,,Parked,B787 Dreamliner Undifferentiated or Other Model,,
2050589,,,Parked,B777 Undifferentiated or Other Model,,
2050590,,,Parked,B737 Undifferentiated or Other Model,,
2050608,1201-1800,,Parked,B737-800,,
2050630,,,,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,ZZZ.Tower
2050642,1201-1800,Daylight,Landing,Baron 55/Cochise,10,ZZZ.Airport
2050740,1801-2400,Night,Cruise,Stratotanker 135,,ZZZ.ARTCC
2051046,0601-1200,Dawn,Final Approach; Initial Approach,Regional Jet 200 ER/LR (CRJ200),,ZZZ.TRACON
2051190,0601-1200,,Landing,Gulfstream III (G1159A),,ZZZ.Airport
2051514,0601-1200,,Initial Climb,Super King Air 200,10,ZZZ.VORTAC
2052625,1201-1800,,Landing,PA-24 Comanche,10,ZZZ.Airport
2052660,0601-1200,Daylight,Takeoff / Launch,Skyhawk 172/Cutlass 172,10,ZZZ.Tower
2052694,1801-2400,,Takeoff / Launch,Citationjet (C525/C526) - CJ I / II / III / IV,,ZZZ.Airport
2053161,,,Parked,B737 Undifferentiated or Other Model,,
2054018,0601-1200,Daylight,Climb,Fighter,10,ZZZ.ARTCC
2054327,1201-1800,Daylight,Landing,Skylane 182/RG Turbo Skylane/RG,,ZZZ.Airport
2054682,1201-1800,,Climb,EMB-505 / Phenom 300,,ZZZ.ARTCC
2055349,1201-1800,,Climb; Initial Climb,Regional Jet 200 ER/LR (CRJ200),,ORD.Airport
2055476,,,,B737-800,,
2056126,0601-1200,,Final Approach,B737 Undifferentiated or Other Model,,ZZZ.Airport
2056340,0001-0600,Daylight,Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,Haze / Smoke; 2,ZZZ.Airport
2056679,0601-1200,,Final Approach,A320,,SFO.Airport
2056750,1201-1800,,Initial Climb,Challenger 650,,ZZZ.Tower
2058049,1801-2400,Night,Cruise,B787 Dreamliner Undifferentiated or Other Model,,LTAA.ARTCC
2058089,,,Descent,B737 Undifferentiated or Other Model,,ZZZ.ARTCC
2058217,,,Parked,A320,,ZZZ.Airport
2058237,0601-1200,,Parked,A320,,ZZZ.Airport
2058245,,,Parked,A319,,
2058541,0601-1200,,Takeoff / Launch; Taxi,Regional Jet CL65; Undifferentiated or Other Model,Cloudy,
2058720,1801-2400,Dusk,Takeoff / Launch,B737-700,,ZZZ.Airport
2058903,1201-1800,,Cruise,A321,,ZZZ.ARTCC
2059201,0601-1200,Daylight,Climb; Initial Climb,Regional Jet 900 (CRJ900),,ZZZ.TRACON
2059207,0601-1200,,Parked,B737-800,,ZZZ.Airport
2059210,0601-1200,,Climb,B737-800,,ZZZ.TRACON
2059219,0601-1200,,Parked,B737-800,,ZZZ.Airport
2059466,0001-0600,Night,Taxi,Cessna 402/402C/B379 Businessliner/Utiliner,9,ZZZ.Airport
2059592,0001-0600,,Cruise,Widebody Transport,,OEJD.ARTCC
2059652,,,Cruise,Widebody; Low Wing; 2 Turbojet Eng,,
2059982,,,Parked,B787 Dreamliner Undifferentiated or Other Model,,ZZZ.Airport
2060076,0001-0600,,Taxi,EMB ERJ 145 ER/LR,,ZZZ.Airport
2060282,1801-2400,Night,Initial Approach,Large Transport; Low Wing; 2 Turbojet Eng,,ELP.Airport
2060971,0601-1200,Daylight,Descent,Cessna Citation Sovereign (C680),,ZZZ.ARTCC
2061018,0001-0600,Night,Descent,B767-300 and 300 ER,,ZZZZ.ARTCC
2061090,,,Cruise,B737 Undifferentiated or Other Model,,
2061157,1201-1800,,Cruise,Commercial Fixed Wing,,LTAA.ARTCC
2061250,,Dawn,Parked; Taxi,Commercial Fixed Wing,Snow,ZZZZ.Airport
2061567,0601-1200,Daylight,Initial Climb,Cessna 400,9999,ZZZ.Tower
2061958,0001-0600,Night,Parked,Commercial Fixed Wing,,ZZZ.Airport
2062181,0601-1200,,Cruise,Commercial Fixed Wing,,OJAC.ARTCC
2062970,1201-1800,,Initial Approach,Small Aircraft,20,SOP.Airport
2063066,1201-1800,,Cruise,B737 Undifferentiated or Other Model,,ZZZ.ARTCC
2063217,0601-1200,,Climb,A220-300,,ZZZ.Airport
2064510,1201-1800,Daylight,Landing,Skylane 182/RG Turbo Skylane/RG,50,ZZZ.Airport
2064652,1201-1800,,Parked,EMB ERJ 170/175 ER/LR,,ZZZ.Airport
2064804,1201-1800,Daylight,Landing,PC-12,,ZZZ.Airport
2064814,0601-1200,Daylight,Taxi,DA20-A1 Katana,10,ZZZ.Airport
2064939,,,Taxi,Commercial Fixed Wing,,
2065003,1801-2400,,Climb,A320,Wind,ZZZ.ARTCC
2065111,1201-1800,Daylight,Cruise,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,ZZZZZ
2065170,,,Parked,B737 Next Generation Undifferentiated,,
2065242,0601-1200,Daylight,Taxi,Commercial Fixed Wing,,PWM.Airport
2065634,0601-1200,Night,Cruise,B767-300 and 300 ER,,ZZZZ.ARTCC
2065883,1201-1800,Night,Initial Approach,Falcon 50,,ZZZ.Tower
2066273,1201-1800,,Cruise,A319,,ZZZ.ARTCC
2066349,1801-2400,,Cruise,B767-300 and 300 ER,,ZZZ.ARTCC
2066956,1801-2400,,Taxi,B737 Undifferentiated or Other Model,,ZZZ.Airport
2067091,0601-1200,,Takeoff / Launch,Regional Jet 700 ER/LR (CRJ700),Cloudy,ZZZ.Airport
2067853,1201-1800,,Initial Approach,Beechjet 400,,ZZZ.TRACON
2068075,0601-1200,Daylight,Cruise,Gulfstream V / G500 / G550,,ZZZ.ARTCC
2068551,1201-1800,Daylight,Cruise,Skyhawk 172/Cutlass 172,10,ZZZ.Airport
2068739,0001-0600,,Cruise,Large Transport; Low Wing; 2 Turbojet Eng,,CZQX.ARTCC
2069343,1801-2400,Night,Descent,B777-200,,ZZZZ.ARTCC
2069915,1201-1800,Daylight,Cruise,Bonanza 35,,ZZZ.ARTCC
2069940,1201-1800,Daylight,Landing,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,gusty xwind; 10,ZZZ.Airport
2069948,1201-1800,Daylight,Landing,Skylane 182/RG Turbo Skylane/RG,.10,ZZZ.Airport
2069963,1201-1800,Daylight,Initial Approach,M-20 G Statesman,10,ZZZ.Tower
2070474,1201-1800,Night,Landing,Bonanza 33,,ZZZ.Airport
2070562,,,Final Approach; Initial Approach,Widebody; Low Wing; 2 Turbojet Eng,,OJAC.ARTCC
2070898,1201-1800,,Cruise,EMB-505 / Phenom 300,,ZZZ.ARTCC
2071085,1201-1800,,Initial Approach,B737-800,,ZZZ.TRACON
2071444,0601-1200,,Cruise,Commercial Fixed Wing,,ZDV.ARTCC
2071647,1201-1800,Daylight,Takeoff / Launch,Bonanza 33,30,ZZZ.Tower
2072021,,,Taxi,B777 Undifferentiated or Other Model,,
2072253,1201-1800,Daylight,Initial Approach,B737 MAX 8,2,ZZZ.Airport
2073171,1201-1800,Daylight,Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,
2073674,1201-1800,,Cruise,B737-800,,
2074028,1801-2400,,Climb; Initial Climb,B747-800 Advanced,,ZZZ.Airport
2074035,1801-2400,Night,Climb; Initial Climb,B737-800,Cloudy,ZZZ.Airport
2074401,1801-2400,,Taxi,Skyhawk 172/Cutlass 172,,ZZZ.Airport
2075628,1801-2400,,Cruise,A319,,
2075769,,Dawn,Takeoff / Launch,DA40 Diamond Star,,ZZZ.Tower
2076139,1201-1800,Daylight,Cruise,P180 Avanti,10,ZZZ.Airport
2076366,1201-1800,Daylight,Climb,Citation Excel (C560XL),,ZZZ.TRACON
2076373,1801-2400,,Cruise,Regional Jet 700 ER/LR (CRJ700),Cloudy; 1,
2076409,,,Cruise,B757 Undifferentiated or Other Model,,ZZZ.Airport
2076426,,,Cruise,B757 Undifferentiated or Other Model,,ZZZ.Airport
2076602,0001-0600,Night,Cruise,Boeing Company Undifferentiated or Other Model,,HECC.ARTCC
2076945,1201-1800,Daylight,Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,ZZZ.TRACON
2077159,0601-1200,,Climb,A321,,ZZZ.TRACON
2077353,1201-1800,Daylight,Takeoff / Launch; Initial Climb; Taxi,Gulfstream Jet Undifferentiated or Other Model,,ZZZ.Airport
2078864,1801-2400,Night,Initial Approach,EMB ERJ 170/175 ER/LR,Fog; Icing,ZZZ.ARTCC
2081533,1201-1800,Daylight,Takeoff / Launch,Skyhawk 172/Cutlass 172,10,ZZZ.Airport
2081574,0001-0600,,Parked,A320,,ZZZ.Airport
2081962,0001-0600,,Cruise,B737 Next Generation Undifferentiated,,ZZZ.Airport
2082029,,,Parked,B737 Undifferentiated or Other Model,,
2082164,1201-1800,,Takeoff / Launch,B777 Undifferentiated or Other Model,,ZZZZ.Airport
2082622,0601-1200,Daylight,Takeoff / Launch,Amateur/Home Built/Experimental,Clear; 10,ZZZ.Airport
2082680,1201-1800,Daylight,Cruise,General Atomics Undifferentiated or Other Model,10,ZZZ.Airport
2083373,1801-2400,,Landing,EMB ERJ 170/175 ER/LR,Mist; 4,ZZZ.Airport
2083422,1201-1800,,Cruise,B777-200,,ZZZZ.ARTCC
2083819,1201-1800,,Parked,A321,,ZZZ.Airport
2084029,1801-2400,Dusk,Initial Approach,Citation Longitude (C700),,ZZZ.TRACON
2084270,0601-1200,Daylight,Cruise,Epic Aircraft Undifferentiated or Other Model,100,ZZZ.ARTCC
2084539,1201-1800,,Initial Climb,A320,,ZZZZ.ARTCC
2084620,1801-2400,,Cruise,A321,,ZZZ.ARTCC
2085049,1201-1800,Daylight,Taxi,Skyhawk 172/Cutlass 172,10,ZZZ.Airport
2085087,0601-1200,Daylight,Descent,Eclipse 500,Icing; Rain; Turbulence; 10,ZZZ.Airport
2085938,1201-1800,Daylight,Takeoff / Launch; Initial Climb,Light Sport Aircraft,,ZZZ.Airport
2086804,1201-1800,,Taxi,EMB ERJ 145 ER/LR,,ZZZ.Airport
2086936,0001-0600,,Initial Climb; Climb,A320,,ZZZ.Airport
2087076,1201-1800,,Initial Approach,Commercial Fixed Wing,,BHM.Tower
2087230,0001-0600,Night,Cruise,B737 Undifferentiated or Other Model,,ZZZ.TRACON
2087258,0601-1200,Daylight,Taxi,A320,,ZZZ.Airport
2087753,,,Initial Climb,Light Transport; Low Wing; 2 Turbojet Eng,,SCT.TRACON
2087790,1201-1800,Night,Taxi,A319,,ZZZ.Airport
2087946,1201-1800,,Taxi,Commercial Fixed Wing,,ZZZ.Airport
2088969,,,Climb,B737 Undifferentiated or Other Model,,ZZZ.TRACON
2089435,0001-0600,,Landing,Commercial Fixed Wing,,ZZZ.Airport
2089792,1201-1800,,Takeoff / Launch,B757 Undifferentiated or Other Model,,ZZZ.Airport
2089798,1201-1800,,Taxi,B737 Undifferentiated or Other Model,,ZZZZ.Airport
2090608,0601-1200,,Taxi,B767 Undifferentiated or Other Model,,ZZZ.Airport
2090613,0001-0600,,Cruise,Regional Jet 900 (CRJ900),,
2090780,0001-0600,,Cruise,Widebody; Low Wing; 2 Turbojet Eng,,VYYF.ARTCC
2091248,1201-1800,,Cruise,Widebody; Low Wing; 2 Turbojet Eng,,OBBB.ARTCC
2092291,1801-2400,,Parked,B737-800,,ZZZ.Airport
2092499,1201-1800,Daylight,Cruise,Skyhawk 172/Cutlass 172,,ZZZ.Tower
2092591,1201-1800,,Cruise,B757 Undifferentiated or Other Model,,ZZZZ.ARTCC
2093060,,,Taxi,A319,,ZZZ.Airport
2093066,0601-1200,,Taxi,Commercial Fixed Wing,,BWI.Airport
2093089,1201-1800,,Climb,Citation Latitude (C680A),,ZZZ.Airport
2093292,0601-1200,Daylight,Cruise,Citationjet (C525/C526) - CJ I / II / III / IV,10,ZZZ.TRACON
2093294,1201-1800,,,SR20,,ZZZ.Airport
2093582,0601-1200,Daylight,Descent,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,ORL.Airport
2093721,,,Takeoff / Launch,B767 Undifferentiated or Other Model,,ZZZ.Airport
2093888,1201-1800,,Descent,A320,,ZZZ.Airport
2093954,0001-0600,,Cruise,B737-800,,ZZZ.ARTCC
2093972,1201-1800,,Taxi,B737-800,,ZZZ.Airport
2094010,1201-1800,,Taxi,PA-44 Seminole/Turbo Seminole,,ZZZ.Airport
2094154,1801-2400,,Climb; Cruise,EMB ERJ 145 ER/LR,,ZZZ.ARTCC
2094392,0601-1200,Daylight,Landing,Pilatus Undifferentiated,10,ZZZ.Airport
2094730,1801-2400,,Takeoff / Launch,B767-300 and 300 ER,,ZZZ.Airport
2094748,0001-0600,Night,Cruise,B767-300 and 300 ER,,ZZZ.ARTCC
2094774,1201-1800,,Climb,EMB ERJ 145 ER/LR,,ZZZ.Tower
2094979,0601-1200,,Parked,B767-300 and 300 ER,,
2094999,1201-1800,Daylight,Climb,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,ZZZ.Airport
2095174,1801-2400,,Initial Climb,B767-300 and 300 ER,,ZZZ.Airport
2095613,0001-0600,,Parked,A321,,ZZZ.Airport
2096195,,,,A319,,ZZZ.Airport
2096672,0001-0600,,Parked,Small Aircraft,0,ZZZ.Airport
2096713,1201-1800,Daylight,Cruise,Cessna 150,10,ZZZ.Airport
2096957,,,Descent,A320,,
2097189,0601-1200,,Cruise,EMB ERJ 145 ER/LR,,ZZZ.ARTCC
2097500,0601-1200,Daylight,Cruise,PA-44 Seminole/Turbo Seminole,10,ZZZ.TRACON
2097509,1201-1800,,Landing,M-20 Series Undifferentiated or Other Model,Windshear; 10,ZZZ.Airport
2097657,,,Descent,A320,,
2097719,1801-2400,,Climb,Cessna 402/402C/B379 Businessliner/Utiliner,,ZZZ.TRACON
2098016,1201-1800,Daylight,Cruise,B737-700,,ZZZ.ARTCC
2098077,0601-1200,,Cruise,B737 Undifferentiated or Other Model,,ZZZ.ARTCC
2098913,0601-1200,,Cruise,Commercial Fixed Wing,,HECC.ARTCC
2099168,,,Cruise,B737-800,,ZZZ.ARTCC
2099480,1201-1800,,Initial Climb,Gulfstream G200 (IAI 1126 Galaxy),Rain; 6,ZZZ.TRACON
2099502,1201-1800,Daylight,Landing,M-20 G Statesman,Windshear; 10,ZZZ.Airport
2099795,0601-1200,,Climb,B747 Undifferentiated or Other Model,,ZZZZ.ARTCC
2100005,0601-1200,Daylight,Landing,Skylane 182/RG Turbo Skylane/RG,6,ZZZ.Airport
2100234,0601-1200,Daylight,Parked,EMB ERJ 170/175 ER/LR,,ZZZ.Airport
2100330,1801-2400,,Cruise,Commercial Fixed Wing,,ZZZ.TRACON
2100983,1201-1800,Daylight,Initial Approach,Commercial Fixed Wing,Cloudy,ZGSZ.Airport
2101094,1801-2400,,Descent,EMB ERJ 145 ER/LR,,ZZZ.Airport
2101233,1201-1800,,Initial Approach,DA20-C1 Eclipse,,ZZZ.Airport
2101476,1801-2400,,Cruise,B737-800,,ZZZ.ARTCC
2101629,1201-1800,,Cruise,Medium Large Transport; Low Wing; 2 Turbojet Eng,,ZAB.ARTCC
2102052,1201-1800,Daylight,Landing,Skyhawk 172/Cutlass 172,10,ZZZ.Airport
2102210,1801-2400,,Cruise,B787 Dreamliner Undifferentiated or Other Model,,ZZZ.ARTCC
2102834,1201-1800,,Descent,A319,,ZZZ.ARTCC
2102988,1201-1800,Daylight,Taxi,Skyhawk 172/Cutlass 172,,ZZZ.Airport
2103027,0601-1200,Daylight,Hovering (UAS),Small UAS (At or above 0.55 lbs and less than 55 lbs),Rain; 10,ZZZ.Airport
2103107,0601-1200,Daylight,Landing,EMB ERJ 170/175 ER/LR,,ZZZ.Airport
2103863,1801-2400,,Takeoff / Launch,B737 Undifferentiated or Other Model,,ZZZ.Airport
2104068,1801-2400,,Final Approach,B717 (Formerly MD-95),,ZZZ.TRACON
2104180,1201-1800,,Cruise,A319,,ZZZ.Airport
2104193,1801-2400,,Initial Approach,Regional Jet 900 (CRJ900),,ZZZZ.ARTCC
2104198,1201-1800,,Climb,EMB ERJ 145 ER/LR,,ZZZ.Airport
2104747,1801-2400,Night,Final Approach,DA20-C1 Eclipse,10,ZZZ.Airport
2104789,0601-1200,Daylight,Takeoff / Launch,Skyhawk 172/Cutlass 172,10,ZZZ.Airport
2105322,1801-2400,,Cruise,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,SCT.TRACON
2105403,1201-1800,,Takeoff / Launch,A320,,ZZZ.Airport
2105971,1801-2400,,Parked,B737-800,,ZZZ.Airport
2106338,1201-1800,,Cruise,B737-800,,ZZZ.ARTCC
2106447,1201-1800,Daylight,Taxi,Skyhawk 172/Cutlass 172,10,ZZZ.Airport
2106499,1801-2400,Night,Final Approach,Cessna 150,10,ZZZ.Airport
2106758,1201-1800,,Climb,Widebody Transport,,LLLL.ARTCC
2107112,1201-1800,,Cruise,B737 Undifferentiated or Other Model,,
2107335,0601-1200,Daylight,Cruise,Gulfstream G200 (IAI 1126 Galaxy),,ZZZ.TRACON
2107655,0001-0600,Night,Cruise,Commercial Fixed Wing,,LRBB.ARTCC
2108086,1201-1800,Daylight,Cruise,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,ZZZ.TRACON
2108111,0601-1200,,Landing,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,10,ZZZ.Airport
2108793,0001-0600,Night,Initial Climb,B767-300 and 300 ER,Turbulence,ZZZ.Airport
2108798,1801-2400,,,Regional Jet 700 ER/LR (CRJ700),,ZZZ.Airport
2108916,1201-1800,Daylight,Descent,PC-24,Icing; Thunderstorm; Turbulence,ZZZ.ARTCC
2109173,,,Initial Climb; Takeoff / Launch,EMB ERJ 145 ER/LR,,ZZZ.Airport
2110026,0601-1200,Daylight,Cruise,EMB ERJ 170/175 ER/LR,,ZZZ.ARTCC
2110261,1801-2400,Daylight,Climb,UAV: Unpiloted Aerial Vehicle,10,ZZZ.Airport
2110264,0601-1200,Daylight,Initial Approach,Bonanza 35,,ZZZ.Airport
2111000,1201-1800,,Climb,EMB ERJ 145 ER/LR,,ZZZ.Airport
2111174,,,Parked,B757-200,,
